Version,Feature_Ver,Reward_Ver,Seed,Makespan (Days),Delayed Blocks,Delayed (%),Avg Delay (Days),Platen Util (%),Violations,Feasible,Integrity,Train Time (s),Inference Time (s)
V1 (Vanilla Baseline),V1,V1,42,1663,582,66.74,142.87,21.4,0,YES,PASS,25.38,0.5749
V1 (Vanilla Baseline),V1,V1,100,1611,581,66.63,130.44,22.09,0,YES,PASS,23.25,0.5094
V1 (Vanilla Baseline),V1,V1,2024,1524,597,68.46,127.05,23.35,0,YES,PASS,22.7,0.5499
V2 (Feature Engineering),V2,V1,42,1808,591,67.78,141.49,19.68,0,YES,PASS,27.13,0.5911
V2 (Feature Engineering),V2,V1,100,1697,584,66.97,130.12,20.97,0,YES,PASS,27.71,1.0038
V2 (Feature Engineering),V2,V1,2024,1507,598,68.58,131.32,23.61,0,YES,PASS,28.89,0.6695
V3 (Reward Engineering),V2,V3,42,2286,582,66.74,193.81,15.56,0,YES,PASS,24.96,0.5868
V3 (Reward Engineering),V2,V3,100,1767,573,65.71,148.66,20.14,0,YES,PASS,25.34,0.7172
V3 (Reward Engineering),V2,V3,2024,1823,594,68.12,151.2,19.52,0,YES,PASS,24.49,0.7048
