seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,requested_feasible,status,reward
757,284,H1088,45,PPT1058A,Bay10-N-16,0,72,126,0,72,True,True,ALLOCATED,0.0
758,294,H1088,45,PPT1058A,Bay10-N-16,72,143,125,18,71,True,True,ALLOCATED,-18.0
823,836,H1088,63,PPT0862A,Bay8-N-24,21,74,100,0,53,True,True,ALLOCATED,0.0
822,826,H1088,4,BQM4810A,Bay48-S-10,21,74,100,0,53,True,True,ALLOCATED,0.0
810,835,H1088,45,PPT1058A,Bay10-N-16,143,183,113,70,40,True,True,ALLOCATED,-70.0
809,825,H1088,45,PPT1058A,Bay10-N-16,183,223,113,110,40,True,True,ALLOCATED,-110.0
803,694,H1088,45,PPT1058A,Bay10-N-16,223,262,113,149,39,True,True,ALLOCATED,-149.0
802,684,H1087,45,PPT1058A,Bay10-N-16,262,301,113,188,39,True,True,ALLOCATED,-188.0
819,101,H1088,2,BQM4803A,Bay48-S-3,22,83,107,0,61,True,True,ALLOCATED,0.0
881,102,H1087,45,PPT1058A,Bay10-N-16,301,340,74,266,39,True,True,ALLOCATED,-266.0
856,110,H1088,45,PPT1058A,Bay10-N-16,340,382,87,295,42,True,True,ALLOCATED,-295.0
847,272,H1087,11,PPT0001A,0西-1,29,64,105,0,35,True,True,ALLOCATED,0.0
793,182,H1088,45,PPT1058A,Bay10-N-16,382,424,116,308,42,True,True,ALLOCATED,-308.0
794,192,H1088,2,BQM4803A,Bay48-S-3,83,125,116,9,42,True,True,ALLOCATED,-9.0
792,154,H1088,2,BQM4803A,Bay48-S-3,125,165,115,50,40,True,True,ALLOCATED,-50.0
828,683,H1087,45,PPT1058A,Bay10-N-16,424,449,108,341,25,True,True,ALLOCATED,-341.0
829,693,H1087,45,PPT1058A,Bay10-N-16,449,474,108,366,25,True,True,ALLOCATED,-366.0
880,101,H1087,45,PPT1058A,Bay10-N-16,474,510,74,436,36,True,True,ALLOCATED,-436.0
804,134,H1088,45,PPT1058A,Bay10-N-16,510,555,111,444,45,True,True,ALLOCATED,-444.0
805,124,H1088,45,PPT1058A,Bay10-N-16,555,600,111,489,45,True,True,ALLOCATED,-489.0
870,173,H1088,45,PPT1058A,Bay10-N-16,600,629,99,530,29,True,True,ALLOCATED,-530.0
867,163,H1088,45,PPT1058A,Bay10-N-16,629,658,100,558,29,True,True,ALLOCATED,-558.0
874,103,H1088,2,BQM4803A,Bay48-S-3,165,204,87,117,39,True,True,ALLOCATED,-117.0
869,161,H1088,45,PPT1058A,Bay10-N-16,658,690,99,591,32,True,True,ALLOCATED,-591.0
830,143,H1087,45,PPT1058A,Bay10-N-16,690,735,107,628,45,True,True,ALLOCATED,-628.0
831,153,H1087,45,PPT1058A,Bay10-N-16,735,780,107,673,45,True,True,ALLOCATED,-673.0
848,132,H1087,45,PPT1058A,Bay10-N-16,780,807,107,700,27,True,True,ALLOCATED,-700.0
861,122,H1087,45,PPT1058A,Bay10-N-16,807,831,104,727,24,True,True,ALLOCATED,-727.0
862,103,H1087,2,BQM4803A,Bay48-S-3,204,255,104,151,51,True,True,ALLOCATED,-151.0
787,111,H1088,2,BQM4803A,Bay48-S-3,255,295,115,180,40,True,True,ALLOCATED,-180.0
797,801,H1087,11,PPT0001A,0西-1,64,114,113,1,50,True,True,ALLOCATED,-1.0
857,112,H1088,63,PPT0862A,Bay8-N-24,74,100,85,15,26,True,True,ALLOCATED,-15.0
864,144,H1087,45,PPT1058A,Bay10-N-16,831,855,100,755,24,True,True,ALLOCATED,-755.0
865,154,H1087,45,PPT1058A,Bay10-N-16,855,879,100,779,24,True,True,ALLOCATED,-779.0
866,632,H1087,45,PPT1058A,Bay10-N-16,879,894,105,789,15,True,True,ALLOCATED,-789.0
863,622,H1087,45,PPT1058A,Bay10-N-16,894,909,106,803,15,True,True,ALLOCATED,-803.0
879,101,H1087,45,PPT1058A,Bay10-N-16,909,938,86,852,29,True,True,ALLOCATED,-852.0
871,102,H1088,2,BQM4803A,Bay48-S-3,295,332,94,238,37,True,True,ALLOCATED,-238.0
759,154,H1088,45,PPT1058A,Bay10-N-16,938,989,133,856,51,True,True,ALLOCATED,-856.0
760,144,H1088,45,PPT1058A,Bay10-N-16,989,1038,132,906,49,True,True,ALLOCATED,-906.0
843,834,H1087,2,BQM4803A,Bay48-S-3,332,357,105,252,25,True,True,ALLOCATED,-252.0
842,824,H1088,45,PPT1058A,Bay10-N-16,1038,1063,105,958,25,True,True,ALLOCATED,-958.0
859,835,H1087,45,PPT1058A,Bay10-N-16,1063,1091,101,990,28,True,True,ALLOCATED,-990.0
858,825,H1088,45,PPT1058A,Bay10-N-16,1091,1119,101,1018,28,True,True,ALLOCATED,-1018.0
761,134,H1088,2,BQM4803A,Bay48-S-3,357,405,132,273,48,True,True,ALLOCATED,-273.0
765,124,H1087,45,PPT1058A,Bay10-N-16,1119,1166,131,1035,47,True,True,ALLOCATED,-1035.0
878,832,H1087,45,PPT1058A,Bay10-N-16,1166,1189,94,1095,23,True,True,ALLOCATED,-1095.0
877,822,H1087,45,PPT1058A,Bay10-N-16,1189,1212,94,1118,23,True,True,ALLOCATED,-1118.0
849,143,H1087,45,PPT1058A,Bay10-N-16,1212,1234,105,1129,22,True,True,ALLOCATED,-1129.0
850,153,H1087,45,PPT1058A,Bay10-N-16,1234,1256,105,1151,22,True,True,ALLOCATED,-1151.0
853,835,H1088,45,PPT1058A,Bay10-N-16,1256,1278,103,1175,22,True,True,ALLOCATED,-1175.0
852,825,H1088,45,PPT1058A,Bay10-N-16,1278,1300,103,1197,22,True,True,ALLOCATED,-1197.0
795,183,H1087,45,PPT1058A,Bay10-N-16,1300,1322,118,1204,22,True,True,ALLOCATED,-1204.0
796,193,H1087,45,PPT1058A,Bay10-N-16,1322,1344,118,1226,22,True,True,ALLOCATED,-1226.0
815,283,H1087,45,PPT1058A,Bay10-N-16,1344,1375,113,1262,31,True,True,ALLOCATED,-1262.0
811,293,H1087,2,BQM4803A,Bay48-S-3,405,436,114,322,31,True,True,ALLOCATED,-322.0
873,832,H1088,45,PPT1058A,Bay10-N-16,1375,1393,101,1292,18,True,True,ALLOCATED,-1292.0
872,822,H1088,45,PPT1058A,Bay10-N-16,1393,1411,101,1310,18,True,True,ALLOCATED,-1310.0
771,628,H1088,45,PPT1058A,Bay10-N-16,1411,1434,128,1306,23,True,True,ALLOCATED,-1306.0
772,638,H1088,45,PPT1058A,Bay10-N-16,1434,1457,128,1329,23,True,True,ALLOCATED,-1329.0
812,803,H1087,11,PPT0001A,0西-1,114,144,108,36,30,True,True,ALLOCATED,-36.0
824,631,H1088,45,PPT1058A,Bay10-N-16,1457,1472,114,1358,15,True,True,ALLOCATED,-1358.0
789,273,H1088,45,PPT1058A,Bay10-N-16,1472,1497,121,1376,25,True,True,ALLOCATED,-1376.0
788,263,H1088,45,PPT1058A,Bay10-N-16,1497,1522,121,1401,25,True,True,ALLOCATED,-1401.0
825,621,H1088,45,PPT1058A,Bay10-N-16,1522,1537,114,1423,15,True,True,ALLOCATED,-1423.0
838,623,H1088,45,PPT1058A,Bay10-N-16,1537,1552,111,1441,15,True,True,ALLOCATED,-1441.0
839,633,H1088,45,PPT1058A,Bay10-N-16,1552,1567,111,1456,15,True,True,ALLOCATED,-1456.0
844,102,H1087,45,PPT1058A,Bay10-N-16,1567,1588,102,1486,21,True,True,ALLOCATED,-1486.0
820,133,H1088,62,PPT0861A,Bay8-N-22,65,94,107,0,29,True,True,ALLOCATED,0.0
777,261,H1088,11,PPT0001A,0西-1,144,178,124,54,34,True,True,ALLOCATED,-54.0
821,123,H1088,11,PPT0001A,0西-1,178,207,107,100,29,True,True,ALLOCATED,-100.0
840,103,H1088,2,BQM4803A,Bay48-S-3,436,466,103,363,30,True,True,ALLOCATED,-363.0
776,271,H1088,45,PPT1058A,Bay10-N-16,1588,1622,125,1497,34,True,True,ALLOCATED,-1497.0
766,268,H1087,45,PPT1058A,Bay10-N-16,1622,1651,130,1521,29,True,True,ALLOCATED,-1521.0
841,184,H1088,45,PPT1058A,Bay10-N-16,1651,1681,103,1578,30,True,True,ALLOCATED,-1578.0
836,194,H1088,45,PPT1058A,Bay10-N-16,1681,1711,104,1607,30,True,True,ALLOCATED,-1607.0
875,161,H1087,45,PPT1058A,Bay10-N-16,1711,1729,96,1633,18,True,True,ALLOCATED,-1633.0
876,171,H1087,45,PPT1058A,Bay10-N-16,1729,1747,96,1651,18,True,True,ALLOCATED,-1651.0
779,272,H1087,45,PPT1058A,Bay10-N-16,1747,1778,128,1650,31,True,True,ALLOCATED,-1650.0
