seq_id,primary_area,secondary_area,platen_id,platen_name,dimensions,crane_capacity_ton,height_limit_m,subcontractor_team,assigned_block_type,block_type,platen_type,notes,platen_length_m,platen_width_m,platen_area_m2
81,Platform-1,Platform-10,PPT1060A,Bay10-N-20,20*20,280,9.0,Yard-HN,,,General,,20.0,20.0,400.0
82,Platform-1,Platform-10,PPT1061A,Bay10-N-22,20*20,280,9.0,Yard-HN,,,General,,20.0,20.0,400.0
83,Platform-1,Platform-10,PPT1062A,Bay10-N-24,20*20,280,9.0,Yard-HN,,,General,,20.0,20.0,400.0
84,Mega-Assembly,Platform-8,PPT0801A,Bay8-S-1,20*22,350,9.0,HY,,FLAT,General,Mega-Assembly,22.0,20.0,440.0
85,Mega-Assembly,Platform-8,PPT0802A,Bay8-S-3,20*22,350,9.0,HY,,FLAT,General,,22.0,20.0,440.0
86,Mega-Assembly,Platform-8,PPT0803A,Bay8-S-5,20*22,350,9.0,HY,,FLAT,General,,22.0,20.0,440.0
87,Mega-Assembly,Platform-8,PPT0804A,Bay8-S-7,20*22,350,9.0,XZY,,,General,,22.0,20.0,440.0
90,Mega-Assembly,Platform-8,PPT0807A,Bay8-S-13,20*22,350,9.0,XZY,,FLAT,General,,22.0,20.0,440.0
91,Mega-Assembly,Platform-8,PPT0808A,Bay8-S-15,20*22,350,9.0,HL,,,General,,22.0,20.0,440.0
92,Mega-Assembly,Platform-8,PPT0809A,Bay8-S-17,20*22,350,9.0,HL,,,General,,22.0,20.0,440.0
93,Mega-Assembly,Platform-8,PPT0810A,Bay8-S-19,20*22,350,9.0,HL,,FLAT,General,,22.0,20.0,440.0
94,Mega-Assembly,Platform-8,PPT0811A,Bay8-S-21,20*22,350,9.0,HL,,FLAT,General,,22.0,20.0,440.0
104,Mega-Assembly,Platform-8,PPT0857A,Bay8-N-14,20*22,350,9.0,HL,,CURVED,Fixed,,22.0,20.0,440.0
105,Mega-Assembly,Platform-8,PPT0858A,Bay8-N-16,20*22,350,9.0,HL,,CURVED,Fixed,,22.0,20.0,440.0
106,Mega-Assembly,Platform-8,PPT0859A,Bay8-N-18,20*22,350,9.0,HL,,,General,,22.0,20.0,440.0
108,Mega-Assembly,Platform-8,PPT0861A,Bay8-N-22,20*22,350,9.0,HY,,,General,,22.0,20.0,440.0
109,Mega-Assembly,Platform-8,PPT0862A,Bay8-N-24,10*22,350,9.0,MZ,111.0,,Fixed,,22.0,10.0,220.0
110,Mega-Assembly,Platform-8,PPT0863A,Bay8-N-26,20*22,350,9.0,机动,,,General,,22.0,20.0,440.0
111,Mega-Assembly,Platform-8,PPT0864A,Bay8-N-28,20*22,350,9.0,机动,,,General,,22.0,20.0,440.0
