col_1,col_2,20,20.1,col_5,col_6,757,284,20.2,18.4,72,368,43162,43234,43353,-119,0,7
,,20,20,,,758,294,20.0,18.4,71,368.0,43162,43233,43351,-118,0,7
,,33,21,,,7,801,28.614,19.075,67,545.81205,43486,43553,43636,-83,0,2
,,36,21,,,35,801,28.614,19.075,65,545.81205,43470,43535,43616,-81,0,2
,,36,21,,,819,101,30.66,9.4,61,288.204,43536,43597,43323,274,-352,7
,,33,21,,,406,801,28.614,19.075,58,545.81205,43554,43612,43463,149,-223,2
,,20,22,,,661,836,6.45,21.691,55,139.90695,43261,43316,43376,-60,0,7
,,22,21,,,660,826,20.852,21.691,55,452.300732,43261,43316,43376,-60,0,7
,,20,22,,,481,836,6.45,21.691,54,139.90695,43280,43334,43423,-89,0,7
,,22,21,,,480,826,20.852,21.691,54,452.300732,43317,43371,43423,-52,-37,7
,,18,18,,,330,110,15.0,4.932,54,73.98,43364,43418,43486,-68,0,6
,,20,22,,,823,836,6.45,21.691,53,139.90695,43177,43230,43308,-78,0,1
,,22,21,,,822,826,20.852,21.691,53,452.300732,43372,43425,43308,117,-195,1
,,36,21,,,377,102,22.89,15.65,52,358.2285,43598,43650,43458,192,-258,6
,,36,21,,,862,103,29.101,15.68,51,456.30368,43205,43256,43310,-54,0,7
,,18,20,,,759,154,19.932,15.976,51,318.433632,43212,43263,43339,-76,0,7
,,18,20,,,423,110,16.0,4.932,51,78.912,43309,43360,43425,-65,0,6
,,18,21,,,797,801,20.814,15.31,50,318.66234,43206,43256,43318,-62,0,5
,,18,20,,,760,144,17.566,15.678,49,275.399748,43212,43261,43336,-75,0,7
,,18,20,,,402,101,11.577,13.021,49,150.744117,43341,43390,43453,-63,0,6
,,33,21,,,761,134,22.828,14.354,48,327.673112,43613,43661,43335,326,-399,6
,,18,20,,,765,124,18.618,14.354,47,267.242772,43214,43261,43333,-72,0,6
,,36,21,,,529,102,22.89,15.65,47,358.2285,43287,43334,43395,-61,0,6
,,36,21,,,353,801,24.3,17.0,47,413.1,43651,43698,43478,220,-285,1
,,20,20,,,50,102,19.76,18.47,47,364.9672,43494,43541,43594,-53,0,0
,,18,20,,,4,154,19.932,15.976,47,318.433632,43514,43561,43622,-61,0,8
,,20,20,,,804,134,19.318,18.5,45,357.383,43203,43248,43311,-63,0,12
,,18,20,,,805,124,16.142,18.85,45,304.2767,43204,43249,43311,-62,0,13
,,18,21,,,830,143,14.606,16.186,45,236.412716,43201,43246,43307,-61,0,8
,,18,21,,,831,153,19.167,16.07,45,308.01369,43201,43246,43307,-61,0,8
,,20,20,,,596,294,20.0,18.4,45,368.0,43255,43300,43379,-79,0,6
,,20,20,,,589,284,20.0,18.4,45,368.0,43256,43301,43380,-79,0,7
,,20,20,,,574,101,11.577,13.021,45,150.744117,43288,43333,43392,-59,0,6
,,20,20,,,420,294,20.0,18.4,45,368.0,43316,43361,43431,-70,0,7
,,20,20,,,419,284,20.0,18.4,45,368.0,43317,43362,43432,-70,0,7
,,20,20,,,99,154,19.932,15.976,45,318.433632,43469,43514,43573,-59,0,8
,,20,20,,,712,134,19.318,18.5,44,357.383,43262,43306,43353,-47,0,7
,,20,20,,,713,124,16.142,18.85,44,304.2767,43263,43307,43353,-46,0,7
,,20,20,,,418,283,18.4,18.9,44,347.76,43320,43364,43433,-69,0,7
,,33,21,,,351,111,11.85,24.0,44,284.4,43662,43706,43471,235,-293,6
,,36,21,,,200,801,24.3,20.03,44,486.729,43699,43743,43517,226,-288,1
,,20,21,,,780,135,13.1,18.5,43,242.35,43232,43275,43321,-46,0,1
,,20,21,,,595,283,18.4,18.9,43,347.76,43254,43297,43378,-81,0,5
,,20,21,,,600,293,19.5,18.9,43,368.55,43254,43297,43375,-78,0,5
,,20,21,,,424,293,19.5,18.9,43,368.55,43318,43361,43429,-68,0,7
,,20,21,,,378,123,19.5,18.75,43,365.625,43361,43404,43461,-57,0,6
,,33,21,,,379,133,25.083,18.75,43,470.30625,43707,43750,43461,289,-346,6
,,36,21,,,357,103,34.122,13.75,43,469.1775,43744,43787,43472,315,-372,6
,,20,21,,,156,102,19.76,18.47,43,364.9672,43449,43492,43541,-49,0,0
,,20,21,,,856,110,13.0,5.487,42,71.331,43184,43226,43284,-58,0,0
,,20,21,,,793,182,7.9,19.9,42,157.21,43196,43238,43313,-75,0,10
,,33,21,,,794,192,23.8,19.9,42,473.62,43751,43793,43313,480,-555,10
,,20,22,,,725,123,16.13,18.505,42,298.48565,43247,43289,43349,-60,0,5
,,36,21,,,726,133,23.777,18.85,42,448.19645,43788,43830,43349,481,-541,5
,,20,20,,,628,125,9.8,18.5,42,181.3,43261,43303,43377,-74,0,7
,,20,22,,,629,135,13.1,18.5,42,242.35,43261,43303,43377,-74,0,7
,,20,22,,,685,110,12.0,5.487,41,65.844,43244,43285,43346,-61,0,5
,,20,22,,,668,112,20.0,5.15,41,103.0,43257,43298,43349,-51,0,7
,,20,22,,,390,182,12.25,9.2,41,112.7,43360,43401,43456,-55,0,6
,,20,22,,,373,192,16.9,9.2,41,155.48,43366,43407,43462,-55,0,6
,,20,22,,,810,835,18.0,17.3,40,311.4,43185,43225,43308,-83,0,9
,,20,22,,,809,825,18.455,17.3,40,319.2715,43185,43225,43308,-83,0,9
,,33,21,,,792,154,24.839,16.385,40,406.987015,43794,43834,43310,524,-584,24
,,36,21,,,787,111,22.2,13.8,40,306.36,43831,43871,43310,561,-624,7
,,20,22,,,683,182,7.9,19.9,40,157.21,43255,43295,43361,-66,0,8
,,33,21,,,684,192,23.8,19.9,40,473.62,43835,43875,43361,514,-580,8
,,20,22,,,670,835,17.0,17.3,40,294.1,43270,43310,43365,-55,0,7
,,20,22,,,669,825,18.455,17.3,40,319.2715,43270,43310,43365,-55,0,7
,,36,21,,,438,111,11.85,25.0,40,296.25,43872,43912,43412,500,-554,6
,,36,21,,,467,103,34.122,13.75,40,469.1775,43913,43953,43412,541,-595,6
,,20,22,,,803,694,16.7,18.4,39,307.28,43226,43265,43307,-42,-36,14
,,20,21,,,802,684,17.5,18.4,39,322.0,43227,43266,43307,-41,-37,14
,,20,22,,,881,102,16.588,12.377,39,205.309676,43231,43270,43268,2,-47,1
,,33,21,,,874,103,24.0,11.0,39,264.0,43876,43915,43281,634,-683,1
,,20,20,,,666,261,19.155,12.423,39,237.962565,43254,43293,43363,-70,0,6
,,20,22,,,667,271,21.56,12.423,39,267.83988,43266,43305,43363,-58,-12,6
,,33,21,,,692,154,24.839,16.385,39,406.987015,43916,43955,43354,601,-657,10
,,20,20,,,693,322,12.4,19.6,39,243.04,43260,43299,43353,-54,0,1
,,20,21,,,694,332,12.4,19.6,39,243.04,43260,43299,43353,-54,0,1
,,18,21,,,494,835,16.0,17.3,39,276.8,43301,43340,43414,-74,0,7
,,20,20,,,493,825,18.455,17.3,39,319.2715,43301,43340,43414,-74,0,7
,,20,20,,,526,123,19.5,18.75,39,365.625,43308,43347,43400,-53,0,6
,,18,21,,,468,154,19.932,15.976,39,318.433632,43327,43366,43419,-53,0,8
,,18,20,,,117,124,18.618,14.354,39,267.242772,43465,43504,43556,-52,0,10
,,36,21,,,118,134,22.828,14.354,39,327.673112,43954,43993,43556,437,-489,10
,,20,20,,,94,272,14.4,17.28,39,248.832,43479,43518,43572,-54,0,6
,,18,21,,,93,262,14.6,17.28,39,252.288,43479,43518,43572,-54,0,6
,,18,20,,,33,283,13.7,18.32,39,250.984,43487,43526,43595,-69,0,6
,,33,21,,,34,293,22.5,18.32,39,412.2,43956,43995,43595,400,-469,6
,,36,21,,,36,801,28.614,19.075,39,545.81205,43994,44033,43590,443,-497,9
,,33,21,,,37,801,28.614,19.075,39,545.81205,43996,44035,43590,445,-499,9
,,20,20,,,22,143,13.809,15.686,39,216.607974,43508,43547,43598,-51,0,7
,,20,20,,,23,153,18.919,15.5,39,293.2445,43508,43547,43598,-51,0,7
,,20,21,,,2,272,14.4,17.28,39,248.832,43528,43567,43621,-54,0,6
,,18,20,,,1,262,14.6,17.28,39,252.288,43528,43567,43621,-54,0,6
,,36,21,,,746,103,24.0,11.0,38,264.0,44034,44072,43332,740,-781,6
,,33,21,,,699,144,24.366,16.385,38,399.23691,44036,44074,43351,723,-778,9
,,20,21,,,682,694,16.7,18.4,38,307.28,43268,43306,43359,-53,0,7
,,18,20,,,681,684,17.5,18.4,38,322.0,43268,43306,43359,-53,0,7
,,20,21,,,501,694,16.7,18.4,38,307.28,43308,43346,43409,-63,0,7
,,20,22,,,500,684,17.5,18.4,38,322.0,43308,43346,43409,-63,0,7
,,20,21,,,567,102,19.76,18.47,38,364.9672,43308,43346,43390,-44,0,0
,,20,22,,,381,633,12.7,19.8,38,251.46,43369,43407,43459,-52,0,6
,,20,22,,,380,623,13.6,19.8,38,269.28,43369,43407,43459,-52,0,6
,,36,21,,,80,101,30.66,9.4,38,288.204,43480,43518,43570,-52,0,0
,,36,21,,,871,102,26.372,14.65,37,386.3498,43519,43556,43286,270,-314,1
