seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_date_day,delay_days,processing_time_days,is_feasible,status
489,155,H1088,44,PPT1057A,Bay10-N-14,208,230,224,6,22,True,ALLOCATED
490,154,H1088,39,PPT1052A,Bay10-N-4,211,231,224,7,20,True,ALLOCATED
491,824,H1087,62,PPT0861A,Bay8-N-22,221,243,226,17,22,True,ALLOCATED
492,834,H1087,46,PPT1059A,Bay10-N-18,220,242,226,16,22,True,ALLOCATED
493,825,H1087,57,PPT0810A,Bay8-S-19,165,204,220,0,39,True,ALLOCATED
494,835,H1087,32,PPT1008A,Bay10-S-15,165,204,220,0,39,True,ALLOCATED
495,144,H1087,47,PPT1060A,Bay10-N-20,210,230,223,7,20,True,ALLOCATED
496,822,H1087,53,PPT0804A,Bay8-S-7,166,201,219,0,35,True,ALLOCATED
497,832,H1087,37,PPT1013A,Bay10-S-25,166,201,219,0,35,True,ALLOCATED
498,183,H1087,14,PPT0004A,0西-7,208,230,220,10,22,True,ALLOCATED
499,193,H1088,24,PPT0060A,0东-20,208,230,220,10,22,True,ALLOCATED
500,684,H1088,42,PPT1055A,Bay10-N-10,168,206,216,0,38,True,ALLOCATED
501,694,H1088,18,PPT0054A,0东-8,168,206,216,0,38,True,ALLOCATED
502,192,H1088,47,PPT1060A,Bay10-N-20,173,210,211,0,37,True,ALLOCATED
503,144,H1088,48,PPT1061A,Bay10-N-22,187,218,217,1,31,True,ALLOCATED
504,662,H1088,58,PPT0811A,Bay8-S-21,195,222,218,4,27,True,ALLOCATED
505,672,H1088,15,PPT0051A,0东-2,197,224,218,6,27,True,ALLOCATED
506,143,H1088,40,PPT1053A,Bay10-N-6,201,226,217,9,25,True,ALLOCATED
507,153,H1087,53,PPT0804A,Bay8-S-7,201,226,217,9,25,True,ALLOCATED
508,833,H1087,20,PPT0056A,0东-12,226,241,223,18,15,True,ALLOCATED
509,683,H1087,60,PPT0858A,Bay8-N-16,181,205,216,0,24,True,ALLOCATED
510,693,H1087,14,PPT0004A,0西-7,184,208,216,0,24,True,ALLOCATED
511,825,H1087,44,PPT1057A,Bay10-N-14,188,208,216,0,20,True,ALLOCATED
512,825,H1087,19,PPT0055A,0东-10,189,209,216,0,20,True,ALLOCATED
513,835,H1087,27,PPT1003A,Bay10-S-5,188,208,216,0,20,True,ALLOCATED
514,835,H1087,41,PPT1054A,Bay10-N-8,188,208,216,0,20,True,ALLOCATED
515,833,H1088,15,PPT0051A,0东-2,224,239,222,17,15,True,ALLOCATED
516,124,H1088,59,PPT0857A,Bay8-N-14,181,213,215,0,32,True,ALLOCATED
517,134,H1088,2,BQM4803A,Bay48-S-3,516,548,215,333,32,True,ALLOCATED
518,181,H1088,3,BQM4808A,Bay48-S-8,204,228,217,11,24,True,ALLOCATED
519,822,H1088,11,PPT0001A,0西-1,203,219,219,0,16,True,ALLOCATED
520,832,H1088,50,PPT0801A,Bay8-S-1,202,218,219,0,16,True,ALLOCATED
521,191,H1088,20,PPT0056A,0东-12,202,226,216,10,24,True,ALLOCATED
522,623,H1088,24,PPT0060A,0东-20,174,208,210,0,34,True,ALLOCATED
523,633,H1087,13,PPT0003A,0西-5,174,208,210,0,34,True,ALLOCATED
524,822,H1087,37,PPT1013A,Bay10-S-25,201,217,218,0,16,True,ALLOCATED
525,832,H1087,30,PPT1006A,Bay10-S-11,200,216,218,0,16,True,ALLOCATED
526,123,H1087,26,PPT1002A,Bay10-S-3,169,208,206,2,39,True,ALLOCATED
528,182,H1087,31,PPT1007A,Bay10-S-13,170,207,205,2,37,True,ALLOCATED
529,102,H1087,7,BQM4853A,Bay48-N-3,415,462,193,269,47,True,ALLOCATED
530,622,H1087,65,PPT0864A,Bay8-N-28,184,213,211,2,29,True,ALLOCATED
531,632,H1088,61,PPT0859A,Bay8-N-18,184,213,211,2,29,True,ALLOCATED
532,162,H1088,63,PPT0862A,Bay8-N-24,196,217,212,5,21,True,ALLOCATED
533,172,H1088,28,PPT1004A,Bay10-S-7,197,218,212,6,21,True,ALLOCATED
534,824,H1088,43,PPT1056A,Bay10-N-12,151,185,209,0,34,True,ALLOCATED
535,834,H1088,29,PPT1005A,Bay10-S-9,151,185,209,0,34,True,ALLOCATED
536,143,H1088,34,PPT1010A,Bay10-S-19,179,210,210,0,31,True,ALLOCATED
537,153,H1088,35,PPT1011A,Bay10-S-21,179,210,210,0,31,True,ALLOCATED
538,283,H1088,15,PPT0051A,0东-2,166,197,209,0,31,True,ALLOCATED
